DATE,Bajaj Signal,Eicher Signal,Hero Signal,TVS Signal,Infosys Signal,TCS Signal
5/27/2016,Buy,Sell,Sell,Sell,Buy,Buy
5/30/2016,Buy,Sell,Sell,Sell,Buy,Buy
5/31/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/1/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/2/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/3/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/6/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/7/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/8/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/9/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/10/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/13/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/14/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/15/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/16/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/17/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/20/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/21/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/22/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/23/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/24/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/27/2016,Buy,Sell,Buy,Sell,HOLD,Buy
6/28/2016,Buy,Sell,Buy,Sell,Sell,Buy
6/29/2016,Buy,Sell,Buy,Sell,Sell,Buy
6/30/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/1/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/4/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/5/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/7/2016,Buy,Sell,Buy,HOLD,Sell,HOLD
7/8/2016,Buy,Sell,Buy,HOLD,Sell,Sell
7/11/2016,Buy,Sell,Buy,HOLD,Sell,Sell
7/12/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/13/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/14/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/15/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/18/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/19/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/20/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/21/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/22/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/25/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/26/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/27/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/28/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/29/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/1/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/2/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/3/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/4/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/5/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/8/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/9/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/10/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/11/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/12/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/16/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/17/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/18/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/19/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/22/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/23/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/24/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/25/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/26/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/29/2016,Buy,Buy,Buy,Buy,Sell,Buy
8/30/2016,Buy,Buy,Buy,Buy,Sell,Buy
8/31/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/1/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/2/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/6/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/7/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/8/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/9/2016,Buy,Buy,Buy,Buy,Sell,HOLD
9/12/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/14/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/15/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/16/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/19/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/20/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/21/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/22/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/23/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/26/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/27/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/28/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/29/2016,Buy,Buy,Buy,Buy,Sell,Sell
